log10_input_na+1,log10_input_h4sio4,log10_input_al+3,input_ca+2_mol_l,input_mg+2_mol_l,input_na+1_mol_l,input_k+1_mol_l,si_quartz,si_k-feld-d-ph,total_base_cations_mol_l,base_cation_log_resdual,alkalinity,ionic_strength
-2.7375489102695707,-3.1655792963184672,-9.169411331314855,0.002077434352312032,0.00102948939206389,0.0018299999999999994,0.002156812067448318,0.911,-1.292,0.0070937,0.34191238457899603,1.8755e-05,0.013211
-2.792299888474962,-3.1655792963184672,-9.169411331314855,0.0016144527994559953,0.0008000551397342807,0.0016132441967903384,0.001901346749387089,0.911,-1.335,0.00592906,0.2640254120975218,1.8406e-05,0.010695
-2.7375489102695707,-3.2288908822448366,-9.169411331314855,0.002077434352312032,0.00102948939206389,0.0018299999999999994,0.002156812067448318,0.848,-1.471,0.0070937,0.34191238457899603,1.8755e-05,0.013211
-2.7375489102695707,-3.1655792963184672,-9.352799557941152,0.002077434352312032,0.00102948939206389,0.0018299999999999994,0.002156812067448318,0.911,-1.476,0.0070937,0.34191238457899603,1.8755e-05,0.013211
-2.932081494818679,-3.7819467762508516,-7.087467212035975,0.0008481294422393226,0.0004202974033382596,0.0011692799565045367,0.0013780967871117103,0.294,-1.149,0.00381583,0.07262858492362995,1.7726e-05,0.0063327
-2.9907231247150525,-3.7819467762508516,-7.087467212035975,0.0006474092197825629,0.00032082887401411325,0.0010215905696585152,0.0012040321686507586,0.294,-1.2,0.00319384,-0.004647277435102949,1.7511e-05,0.0051187
-2.932081494818679,-3.8575857117758687,-7.087467212035975,0.0008481294422393226,0.0004202974033382596,0.0011692799565045367,0.0013780967871117103,0.218,-1.373,0.00381583,0.07262858492362995,1.7726e-05,0.0063327
-2.932081494818679,-3.7819467762508516,-7.229216556276694,0.0008481294422393226,0.0004202974033382596,0.0011692799565045367,0.0013780967871117103,0.294,-1.291,0.00381583,0.07262858492362995,1.7726e-05,0.0063327
-2.9728211457337053,-3.9793436969634146,-6.346768082495887,0.0007030445369535178,0.0003483994053225342,0.0010645813514817844,0.001254700494894182,0.096,-1.028,0.00337074,0.0187648215925933,1.7573e-05,0.0054602
-3.032277568648379,-3.9793436969634146,-6.346768082495887,0.0005346505181492693,0.0002649503876180546,0.000928372850428927,0.001094167085735794,0.096,-1.08,0.00282217,-0.05837726222842621,1.7378e-05,0.0044141
-2.9728211457337053,-4.058930570902683,-6.346768082495887,0.0007030445369535178,0.0003483994053225342,0.0010645813514817844,0.001254700494894182,0.017,-1.264,0.00337074,0.0187648215925933,1.7573e-05,0.0054602
-2.9728211457337053,-3.9793436969634146,-6.473703444145805,0.0007030445369535178,0.0003483994053225342,0.0010645813514817844,0.001254700494894182,0.096,-1.155,0.00337074,0.0187648215925933,1.7573e-05,0.0054601
-2.9859803505148723,-4.067966385641244,-6.047124638447887,0.0006617050183280861,0.0003279132725835887,0.0010328081337071006,0.0012172530306766402,0.007,-1.003,0.0032397199999999998,0.0015470437859368717,1.7527e-05,0.0052077
-3.0456999575251698,-4.067966385641244,-6.047124638447887,0.0005026031594288662,0.0002490690598593203,0.0009001192351365641,0.0010608677751283565,0.007,-1.056,0.0027126900000000002,-0.07556026675843554,1.7338e-05,0.0042104
-2.9859803505148723,-4.149325713354068,-6.047124638447887,0.0006617050183280861,0.0003279132725835887,0.0010328081337071006,0.0012172530306766402,-0.074,-1.245,0.0032397199999999998,0.0015470437859368717,1.7527e-05,0.0052077
-2.9859803505148723,-4.067966385641244,-6.168067131216844,0.0006617050183280861,0.0003279132725835887,0.0010328081337071006,0.0012172530306766402,0.007,-1.124,0.0032397199999999998,0.0015470437859368717,1.7527e-05,0.0052074
-2.9871651147528664,-4.074917857602966,-6.022432364753766,0.0006581045597102288,0.00032612903620108936,0.0010299944516097025,0.001213936864828754,0.0,-1.0,0.00322813,-9.417304795260513e-06,1.7523e-05,0.0051855
-3.046908417047924,-4.074917857602966,-6.022432364753766,0.0004998138601926452,0.000247686800067676,0.0008976180620328923,0.001057919927951976,0.0,-1.053,0.00270302,-0.07711117406442582,1.7335e-05,0.0041925
-2.9871651147528664,-4.1564162147550245,-6.022432364753766,0.0006581045597102288,0.00032612903620108936,0.0010299944516097025,0.001213936864828754,-0.081,-1.243,0.00322813,-9.417304795260513e-06,1.7523e-05,0.0051855
-2.9871651147528664,-4.074917857602966,-6.142881012048841,0.0006581045597102288,0.00032612903620108936,0.0010299944516097025,0.001213936864828754,0.0,-1.12,0.00322813,-9.417304795260513e-06,1.7523e-05,0.0051852
