log10_input_na+1,log10_input_h4sio4,log10_input_al+3,input_ca+2_mol_l,input_mg+2_mol_l,input_na+1_mol_l,input_k+1_mol_l,si_quartz,si_k-feld-d-ph,total_base_cations_mol_l,base_cation_log_resdual,alkalinity,ionic_strength
-2.7375489102695707,-3.1655792963184672,-9.169411331314855,8.302270980929372e-05,6.0137216690781065e-05,0.0018299999999999994,0.001411727391551691,0.91,-1.87,0.00338486,0.020580277514864378,1.9602e-05,0.0036744
-2.792299888474962,-3.1655792963184672,-9.169411331314855,6.452008754012585e-05,4.673490535567138e-05,0.0016132441967903384,0.0012445142196014908,0.91,-1.918,0.0029689549999999997,-0.036356818066522925,1.9508e-05,0.0031955
-2.7375489102695707,-3.2288908822448366,-9.169411331314855,8.302270980929372e-05,6.0137216690781065e-05,0.0018299999999999994,0.001411727391551691,0.846,-2.044,0.00338486,0.020580277514864378,1.9602e-05,0.0036744
-2.7375489102695707,-3.1655792963184672,-9.352799557941152,8.302270980929372e-05,6.0137216690781065e-05,0.0018299999999999994,0.001411727391551691,0.91,-2.054,0.00338486,0.020580277514864378,1.9602e-05,0.0036744
-2.6770364181952413,-3.365659162601616,-7.974999016368589,0.00010970385488526531,7.946361312709993e-05,0.0021036020327318515,0.0016227937762466518,0.71,-1.178,0.003915564,0.08383389373965355,1.9716e-05,0.0042959
-2.730577146559146,-3.365659162601616,-7.974999016368589,8.57315018505086e-05,6.209932096715302e-05,0.0018596141984917195,0.0014345728424749753,0.71,-1.225,0.003442031,0.027854344223163408,1.9614e-05,0.0037408
-2.6770364181952413,-3.4329723458536483,-7.974999016368589,0.00010970385488526531,7.946361312709993e-05,0.0021036020327318515,0.0016227937762466518,0.642,-1.368,0.003915564,0.08383389373965355,1.9716e-05,0.0042959
-2.6770364181952413,-3.365659162601616,-8.13449899669596,0.00010970385488526531,7.946361312709993e-05,0.0021036020327318515,0.0016227937762466518,0.71,-1.338,0.003915564,0.08383389373965355,1.9716e-05,0.0042959
-2.7090152632729394,-3.872193538896488,-6.400441335839659,9.468129696699423e-05,6.858207453535734e-05,0.001954270771752,0.0015075943054596514,0.203,-1.091,0.003625163,0.05036710556703779,1.9654e-05,0.0039552
-2.763195568538398,-3.872193538896488,-6.400441335839659,7.377404356297167e-05,5.3437976839017996e-05,0.0017250608993625023,0.0013307736195217706,0.203,-1.139,0.003183112,-0.006108513335016074,1.9557e-05,0.0034419
-2.7090152632729394,-3.949637409674418,-6.400441335839659,9.468129696699423e-05,6.858207453535734e-05,0.001954270771752,0.0015075943054596514,0.126,-1.319,0.003625163,0.05036710556703779,1.9654e-05,0.0039552
-2.7090152632729394,-3.872193538896488,-6.528450162556452,9.468129696699423e-05,6.858207453535734e-05,0.001954270771752,0.0015075943054596514,0.203,-1.219,0.003625163,0.05036710556703779,1.9654e-05,0.003955
-2.7438376469464996,-4.026208691251321,-5.8401164244812485,8.065279661211225e-05,5.8420578149295047e-05,0.0018036918920859588,0.0013914323770368555,0.049,-1.016,0.003334174,0.014027827362427595,1.9591e-05,0.0036185
-2.7987143998854296,-4.026208691251321,-5.8401164244812485,6.264204470688572e-05,4.5374551434719416e-05,0.0015895917500017014,0.0012262678769737654,0.049,-1.064,0.002923917,-0.04299539285064058,1.9499e-05,0.0031468
-2.7438376469464996,-4.1067328650763475,-5.8401164244812485,8.065279661211225e-05,5.8420578149295047e-05,0.0018036918920859588,0.0013914323770368555,-0.032,-1.254,0.003334174,0.014027827362427595,1.9591e-05,0.0036185
-2.7438376469464996,-4.026208691251321,-5.956918752970873,8.065279661211225e-05,5.8420578149295047e-05,0.0018036918920859588,0.0013914323770368555,0.049,-1.132,0.003334174,0.014027827362427595,1.9591e-05,0.0036178
-2.756590293776459,-4.07218833108697,-5.6768611424305995,7.605261252972799e-05,5.5088450498736756e-05,0.0017514982439206753,0.0013511683318019143,0.003,-1.0,0.0032338410000000003,0.0007582297279467513,1.9569e-05,0.0035038
-2.811722099651988,-4.07218833108697,-5.6768611424305995,5.899979811901325e-05,4.273630254114228e-05,0.0015426872861152563,0.001190084097490409,0.003,-1.049,0.002834536,-0.05647845606161815,1.9478e-05,0.0030463
-2.756590293776459,-4.15363209770871,-5.6768611424305995,7.605261252972799e-05,5.5088450498736756e-05,0.0017514982439206753,0.0013511683318019143,-0.079,-1.241,0.0032338410000000003,0.0007582297279467513,1.9569e-05,0.0035038
-2.756590293776459,-4.07218833108697,-5.790398365279211,7.605261252972799e-05,5.5088450498736756e-05,0.0017514982439206753,0.0013511683318019143,0.003,-1.113,0.0032338410000000003,0.0007582297279467513,1.9569e-05,0.0035028
-2.757320475174559,-4.075163382807912,-5.667363767373562,7.57973067717202e-05,5.490352064367679e-05,0.0017485559156801063,0.0013488985146586645,-0.0,-1.0,0.003228201,1.3453144614863994e-07,1.9568e-05,0.0034974
-2.81246688467805,-4.075163382807912,-5.667363767373562,5.879778360438844e-05,4.258997401647017e-05,0.0015400439512377438,0.0011880449345113774,-0.0,-1.049,0.002829388,-0.05726792590920165,1.9477e-05,0.0030406
-2.757320475174559,-4.156666650464071,-5.667363767373562,7.57973067717202e-05,5.490352064367679e-05,0.0017485559156801063,0.0013488985146586645,-0.082,-1.241,0.003228201,1.3453144614863994e-07,1.9568e-05,0.0034973
-2.757320475174559,-4.075163382807912,-5.780711042721033,7.57973067717202e-05,5.490352064367679e-05,0.0017485559156801063,0.0013488985146586645,-0.0,-1.113,0.003228201,1.3453144614863994e-07,1.9567e-05,0.0034964
