log10_input_na+1,log10_input_h4sio4,log10_input_al+3,input_ca+2_mol_l,input_mg+2_mol_l,input_na+1_mol_l,input_k+1_mol_l,si_quartz,si_k-feld-d-ph,total_base_cations_mol_l,base_cation_log_resdual,alkalinity,ionic_strength
-2.7375489102695707,-3.1655792963184672,-9.169411331314855,0.017176938333989446,0.007881617258926183,0.0018299999999999994,0.0014408355711291666,0.918,-1.082,0.028329399999999998,0.9432769433396533,2.8275e-05,0.0758
-2.792299888474962,-3.1655792963184672,-9.169411331314855,0.01334884837565591,0.0061251028383893956,0.0016132441967903384,0.001270174657734001,0.916,-1.123,0.0223575,0.8404628062473787,2.6868e-05,0.059565
-2.7375489102695707,-3.2288908822448366,-9.169411331314855,0.017176938333989446,0.007881617258926183,0.0018299999999999994,0.0014408355711291666,0.855,-1.265,0.028329399999999998,0.9432769433396533,2.8275e-05,0.0758
-2.7375489102695707,-3.1655792963184672,-9.352799557941152,0.017176938333989446,0.007881617258926183,0.0018299999999999994,0.0014408355711291666,0.918,-1.265,0.028329399999999998,0.9432769433396533,2.8275e-05,0.0758
-3.1703734620548705,-3.8246850193510635,-6.883711339015348,0.002340435370819965,0.001073905922777546,0.0006755018425047917,0.0005318508650514734,0.251,-1.086,0.004621650000000001,0.15583661986052239,2.1401e-05,0.011363
-3.2337809312959678,-3.8246850193510635,-6.883711339015348,0.0017477596731961158,0.0008019573999086673,0.0005837394824203784,0.00045960251942284716,0.251,-1.141,0.0035931,0.04650887109806733,2.0934e-05,0.0086405
-3.1703734620548705,-3.901178719738085,-6.883711339015348,0.002340435370819965,0.001073905922777546,0.0006755018425047917,0.0005318508650514734,0.175,-1.314,0.004621650000000001,0.15583661986052239,2.1401e-05,0.011363
-3.1703734620548705,-3.8246850193510635,-7.021385565795655,0.002340435370819965,0.001073905922777546,0.0006755018425047917,0.0005318508650514734,0.251,-1.223,0.004621650000000001,0.15583661986052239,2.1401e-05,0.011363
-3.2539967596596178,-4.026564413601296,-6.136336307252131,0.0015923922591106689,0.0007306672509589284,0.0005571899061991607,0.00043869892717260915,0.049,-1.014,0.00331896,0.012041585159956122,2.0801e-05,0.0079214
-3.3190766948528103,-4.026564413601296,-6.136336307252131,0.0011800222258050595,0.0005414517628218995,0.0004796487369049222,0.00037764752009824436,0.049,-1.072,0.0025787500000000003,-0.09755119219574418,2.0423e-05,0.0059965
-3.2539967596596178,-4.107095701873321,-6.136336307252131,0.0015923922591106689,0.0007306672509589284,0.0005571899061991607,0.00043869892717260915,-0.031,-1.255,0.00331896,0.012041585159956122,2.0801e-05,0.0079214
-3.2539967596596178,-4.026564413601296,-6.259063033397174,0.0015923922591106689,0.0007306672509589284,0.0005571899061991607,0.00043869892717260915,0.049,-1.137,0.00331896,0.012041585159956122,2.0801e-05,0.0079213
-3.260916425057959,-4.073563751128725,-5.976586799728789,0.0015424486932913714,0.0007077507065387409,0.0005483824846240398,0.0004317644756450875,0.002,-1.001,0.0032302900000000002,0.00028107978764753486,2.0758e-05,0.0076895
-3.3261347535591184,-4.073563751128725,-5.976586799728789,0.0011422839375988807,0.000524135595186857,0.0004719165915393419,0.0003715596785223594,0.002,-1.059,0.0025099199999999997,-0.10930055397170942,2.0386e-05,0.0058193
-3.260916425057959,-4.155035026151299,-5.976586799728789,0.0015424486932913714,0.0007077507065387409,0.0005483824846240398,0.0004317644756450875,-0.079,-1.244,0.0032302900000000002,0.00028107978764753486,2.0758e-05,0.0076895
-3.260916425057959,-4.073563751128725,-6.096118535723365,0.0015424486932913714,0.0007077507065387409,0.0005483824846240398,0.0004317644756450875,0.002,-1.12,0.0032302900000000002,0.00028107978764753486,2.0758e-05,0.0076894
-3.261082935297528,-4.075567164578222,-5.969433828104168,0.0015412663846675475,0.0007072082056649694,0.0005481722728889781,0.0004315989671503631,0.0,-1.0,0.00322828,1.076238400921826e-05,2.0757e-05,0.0076842
-3.3263045940034783,-4.075567164578222,-5.969433828104168,0.001141390856203325,0.0005237258058749335,0.0004717320742206237,0.00037141440031673173,-0.0,-1.058,0.00250827,-0.1095861493441302,2.0386e-05,0.0058151
-3.261082935297528,-4.1570785078697865,-5.969433828104168,0.0015412663846675475,0.0007072082056649694,0.0005481722728889781,0.0004315989671503631,-0.081,-1.244,0.00322828,1.076238400921826e-05,2.0757e-05,0.0076842
-3.261082935297528,-4.075567164578222,-6.088822504666251,0.0015412663846675475,0.0007072082056649694,0.0005481722728889781,0.0004315989671503631,0.0,-1.119,0.00322828,1.076238400921826e-05,2.0757e-05,0.0076841
