log10_input_na+1,log10_input_h4sio4,log10_input_al+3,log10_input_co3-2,input_ca+2_mol_l,input_mg+2_mol_l,input_na+1_mol_l,input_k+1_mol_l,si_quartz,si_k-feld-d-ph,si_calcite-ph,total_base_cations_mol_l,base_cation_log_resdual,alkalinity,ionic_strength
-2.7375489102695707,-3.1655792963184672,-9.169411331314855,-5.2839966563652006,0.0003088058912609917,1.656091189144668e-05,0.0018299999999999994,5.693260624322841e-05,0.904,-1.395,-2.914,0.002212304,-0.16411562860439485,6.2634e-06,0.0028583
-2.792299888474962,-3.1655792963184672,-9.169411331314855,-5.2839966563652006,0.00023998473649959593,1.287011093030885e-05,0.0016132441967903384,5.0189178486359376e-05,0.904,-1.446,-3.013,0.001916239,-0.22651075833631457,6.2553e-06,0.0024186
-2.7375489102695707,-3.2288908822448366,-9.169411331314855,-5.2839966563652006,0.0003088058912609917,1.656091189144668e-05,0.0018299999999999994,5.693260624322841e-05,0.84,-1.585,-2.914,0.002212304,-0.16411562860439485,6.2634e-06,0.0028582
-2.7375489102695707,-3.1655792963184672,-9.352799557941152,-5.2839966563652006,0.0003088058912609917,1.656091189144668e-05,0.0018299999999999994,5.693260624322841e-05,0.904,-1.579,-2.914,0.002212304,-0.16411562860439485,6.2634e-06,0.0028583
-2.7375489102695707,-3.1655792963184672,-9.169411331314855,-5.389676589492504,0.0003088058912609917,1.656091189144668e-05,0.0018299999999999994,5.693260624322841e-05,0.904,-1.395,-3.019,0.002212304,-0.16411562860439485,5.1646e-06,0.0028583
-2.4801190588562134,-3.659084333957436,-7.636444033120899,-3.9822159510039716,0.0010105208526454005,5.419309436355961e-05,0.003310403565965649,0.00010298901788377134,0.41,-1.108,-1.161,0.004478083,0.14213170566586733,0.00010359,0.0065748
-2.5297214400333377,-3.659084333957436,-7.636444033120899,-3.9822159510039716,0.0008041563903689652,4.312600084623613e-05,0.0029531027631527966,9.187313486905357e-05,0.41,-1.153,-1.246,0.0038922590000000003,0.08124129834955576,0.00010347,0.0055634
-2.4801190588562134,-3.7322660206365845,-7.636444033120899,-3.9822159510039716,0.0010105208526454005,5.419309436355961e-05,0.003310403565965649,0.00010298901788377134,0.337,-1.328,-1.161,0.004478083,0.14213170566586733,0.00010359,0.0065748
-2.4801190588562134,-3.659084333957436,-7.789172913783317,-3.9822159510039716,0.0010105208526454005,5.419309436355961e-05,0.003310403565965649,0.00010298901788377134,0.41,-1.261,-1.161,0.004478083,0.14213170566586733,0.00010359,0.0065748
-2.4801190588562134,-3.659084333957436,-7.636444033120899,-4.061860270024051,0.0010105208526454005,5.419309436355961e-05,0.003310403565965649,0.00010298901788377134,0.41,-1.108,-1.241,0.004478083,0.14213170566586733,8.6439e-05,0.0065755
