log10_input_na+1,log10_input_h4sio4,log10_input_al+3,log10_input_co3-2,input_ca+2_mol_l,input_mg+2_mol_l,input_na+1_mol_l,input_k+1_mol_l,si_quartz,si_k-feld-d-ph,si_calcite-ph,total_base_cations_mol_l,base_cation_log_resdual,alkalinity,ionic_strength
-2.7375489102695707,-3.1655792963184672,-9.169411331314855,-5.2839966563652006,0.00010049113060313476,9.365107862967921e-06,0.0018299999999999994,4.295379838680647e-05,0.902,-1.513,-3.293,0.0019828091,-0.3047790879181715,6.556e-06,0.0022008
-2.792299888474962,-3.1655792963184672,-9.169411331314855,-5.2839966563652006,7.809545795859675e-05,7.277979489339334e-06,0.0016132441967903384,3.786610162711353e-05,0.902,-1.565,-3.395,0.0017364389999999998,-0.36240045990272673,6.5495e-06,0.001906
-2.7375489102695707,-3.2288908822448366,-9.169411331314855,-5.2839966563652006,0.00010049113060313476,9.365107862967921e-06,0.0018299999999999994,4.295379838680647e-05,0.839,-1.703,-3.293,0.0019828091,-0.3047790879181715,6.556e-06,0.0022008
-2.7375489102695707,-3.1655792963184672,-9.352799557941152,-5.2839966563652006,0.00010049113060313476,9.365107862967921e-06,0.0018299999999999994,4.295379838680647e-05,0.902,-1.696,-3.293,0.0019828091,-0.3047790879181715,6.556e-06,0.0022008
-2.7375489102695707,-3.1655792963184672,-9.169411331314855,-5.389676589492504,0.00010049113060313476,9.365107862967921e-06,0.0018299999999999994,4.295379838680647e-05,0.902,-1.513,-3.399,0.0019828091,-0.3047790879181715,5.4515e-06,0.0022008
-2.452950338926011,-3.5423249225218343,-7.899030627110445,-3.9065714650403143,0.00037267037903349894,3.473041129137206e-05,0.0035241116654972375,8.271802293571647e-05,0.526,-1.107,-1.399,0.004014218,0.001540962679563073,0.00012374,0.0048169
-2.5020093457045314,-3.5423249225218343,-7.899030627110445,-3.9065714650403143,0.00029730818218051035,2.7707153635870635e-05,0.0031476805775529954,7.388242454332128e-05,0.526,-1.152,-1.486,0.0035465989999999997,-0.05224790404920208,0.00012365,0.0041878
-2.452950338926011,-3.613171420972271,-7.899030627110445,-3.9065714650403143,0.00037267037903349894,3.473041129137206e-05,0.0035241116654972375,8.271802293571647e-05,0.455,-1.32,-1.399,0.004014218,0.001540962679563073,0.00012374,0.0048169
-2.452950338926011,-3.5423249225218343,-8.057011239652654,-3.9065714650403143,0.00037267037903349894,3.473041129137206e-05,0.0035241116654972375,8.271802293571647e-05,0.526,-1.265,-1.399,0.004014218,0.001540962679563073,0.00012374,0.0048169
-2.452950338926011,-3.5423249225218343,-7.899030627110445,-3.9847028943411207,0.00037267037903349894,3.473041129137206e-05,0.0035241116654972375,8.271802293571647e-05,0.526,-1.107,-1.477,0.004014218,0.001540962679563073,0.00010362,0.0048172
-2.322444049938334,-3.9544332926900028,-6.699090571745354,-3.232495878148142,0.0006797315887060815,6.334648249942591e-05,0.004759441028124171,0.00011171369964805498,0.114,-1.025,-0.5,0.005614185999999999,0.14722680554108566,0.00058012,0.0070603
-2.3688929309371005,-3.9544332926900028,-6.699090571745354,-3.232495878148142,0.0005488323359171014,5.11475390285634e-05,0.004276683086309632,0.00010038239511126188,0.114,-1.067,-0.581,0.0049770579999999995,0.09491271048360736,0.00057956,0.0061465
-2.322444049938334,-4.033521958543803,-6.699090571745354,-3.232495878148142,0.0006797315887060815,6.334648249942591e-05,0.004759441028124171,0.00011171369964805498,0.035,-1.262,-0.5,0.005614185999999999,0.14722680554108566,0.00058012,0.0070603
-2.322444049938334,-3.9544332926900028,-6.833072383180261,-3.232495878148142,0.0006797315887060815,6.334648249942591e-05,0.004759441028124171,0.00011171369964805498,0.114,-1.159,-0.5,0.005614185999999999,0.14722680554108566,0.00058012,0.0070603
-2.322444049938334,-3.9544332926900028,-6.699090571745354,-3.2971457957111046,0.0006797315887060815,6.334648249942591e-05,0.004759441028124171,0.00011171369964805498,0.114,-1.025,-0.564,0.005614185999999999,0.14722680554108566,0.00050009,0.0070625
-2.3021389469195594,-4.060032632764674,-6.378220125113973,-2.8996056696174834,0.0007463588022962423,6.95556975628436e-05,0.0049872490133114145,0.00011706081345496068,0.008,-1.002,-0.137,0.005920175999999999,0.1702746266606041,0.0012474,0.0074875
-2.3481817258579505,-4.060032632764674,-6.378220125113973,-2.8996056696174834,0.0006037568918378827,5.626614389882929e-05,0.004485576565282937,0.00010528554723155581,0.008,-1.044,-0.217,0.0052509160000000004,0.11817507951512711,0.0012461,0.0065209
-2.3021389469195594,-4.141233285419967,-6.378220125113973,-2.8996056696174834,0.0007463588022962423,6.95556975628436e-05,0.0049872490133114145,0.00011706081345496068,-0.073,-1.246,-0.137,0.005920175999999999,0.1702746266606041,0.0012474,0.0074875
-2.3021389469195594,-4.060032632764674,-6.505784527616252,-2.8996056696174834,0.0007463588022962423,6.95556975628436e-05,0.0049872490133114145,0.00011706081345496068,0.008,-1.13,-0.137,0.005920175999999999,0.1702746266606041,0.0012474,0.0074875
-2.3021389469195594,-4.060032632764674,-6.378220125113973,-2.9575977830098332,0.0007463588022962423,6.95556975628436e-05,0.0049872490133114145,0.00011706081345496068,0.008,-1.002,-0.194,0.005920175999999999,0.1702746266606041,0.0010917,0.007492
-2.389391407068048,-4.06785730787861,-6.273535915762828,-2.645370999588343,0.0004993933314691966,4.65401512271375e-05,0.004079515550481766,9.575447457444569e-05,0.0,-1.0,-0.043,0.004721184,0.07199093531118685,0.0022345,0.005755
-2.437179235209409,-4.06785730787861,-6.273535915762828,-2.645370999588343,0.0004007440496167375,3.734669146996582e-05,0.0036544394019343,8.577707829917353e-05,0.0,-1.044,-0.128,0.004178264,0.018935885704790167,0.0022328,0.0050101
-2.389391407068048,-4.149214454036182,-6.273535915762828,-2.645370999588343,0.0004993933314691966,4.65401512271375e-05,0.004079515550481766,9.575447457444569e-05,-0.081,-1.244,-0.043,0.004721184,0.07199093531118685,0.0022345,0.005755
-2.389391407068048,-4.06785730787861,-6.399006634078084,-2.645370999588343,0.0004993933314691966,4.65401512271375e-05,0.004079515550481766,9.575447457444569e-05,0.0,-1.125,-0.043,0.004721184,0.07199093531118685,0.0022345,0.005755
-2.389391407068048,-4.06785730787861,-6.273535915762828,-2.69827841958011,0.0004993933314691966,4.65401512271375e-05,0.004079515550481766,9.575447457444569e-05,0.0,-1.0,-0.094,0.004721184,0.07199093531118685,0.0019785,0.0057597
-2.44153088844345,-4.06785730787861,-6.225348408416512,-2.5136580297750504,0.0003927930329870478,3.6605709376219006e-05,0.003618004573859088,8.492187925032074e-05,0.0,-0.999,-0.01,0.004132318,0.014133743671409427,0.0030231,0.0049373
-2.490361506212319,-4.06785730787861,-6.225348408416512,-2.5136580297750504,0.000313691348028352,2.9233956194276162e-05,0.003233244100288403,7.589077334378119e-05,0.0,-1.044,-0.098,0.0036520149999999998,-0.039527438674942586,0.0030211,0.0042975
-2.44153088844345,-4.149214454036182,-6.225348408416512,-2.5136580297750504,0.0003927930329870478,3.6605709376219006e-05,0.003618004573859088,8.492187925032074e-05,-0.081,-1.243,-0.01,0.004132318,0.014133743671409427,0.0030231,0.0049373
-2.44153088844345,-4.06785730787861,-6.349855376584842,-2.5136580297750504,0.0003927930329870478,3.6605709376219006e-05,0.003618004573859088,8.492187925032074e-05,0.0,-1.124,-0.01,0.004132318,0.014133743671409427,0.0030231,0.0049373
-2.44153088844345,-4.06785730787861,-6.225348408416512,-2.5639311903705515,0.0003927930329870478,3.6605709376219006e-05,0.003618004573859088,8.492187925032074e-05,0.0,-0.999,-0.058,0.004132318,0.014133743671409427,0.0026928,0.0049416
-2.4534183253779642,-4.0678493932896576,-6.2154590232831355,-2.481404649699074,0.00037186808061220455,3.465564239178246e-05,0.00352031620340553,8.26289357698848e-05,0.0,-1.0,-0.001,0.004009455,0.0010253522202937908,0.0032554,0.0047694
-2.5024866918855233,-4.0678493932896576,-6.2154590232831355,-2.481404649699074,0.00029665533919903436,2.764631299349345e-05,0.0031442227674084136,7.380126275107526e-05,0.0,-1.046,-0.09,0.003542307,-0.052773793980340086,0.0032533,0.0041514
-2.4534183253779642,-4.149206381155451,-6.2154590232831355,-2.481404649699074,0.00037186808061220455,3.465564239178246e-05,0.00352031620340553,8.26289357698848e-05,-0.081,-1.244,-0.001,0.004009455,0.0010253522202937908,0.0032554,0.0047694
-2.4534183253779642,-4.0678493932896576,-6.339768203748799,-2.481404649699074,0.00037186808061220455,3.465564239178246e-05,0.00352031620340553,8.26289357698848e-05,0.0,-1.125,-0.001,0.004009455,0.0010253522202937908,0.0032554,0.0047694
-2.4534183253779642,-4.0678493932896576,-6.2154590232831355,-2.5310327426930557,0.00037186808061220455,3.465564239178246e-05,0.00352031620340553,8.26289357698848e-05,0.0,-1.0,-0.048,0.004009455,0.0010253522202937908,0.0029041,0.0047737
-2.4543435000250704,-4.0678493932896576,-6.2145964953978465,-2.4785830110179536,0.00037028707481092597,3.4508303121420124e-05,0.0035128248793964765,8.24530992556033e-05,0.0,-1.0,-0.0,0.004000050999999999,5.5372193444742436e-06,0.0032765,0.0047566
-2.503430370025572,-4.0678493932896576,-6.2145964953978465,-2.4785830110179536,0.0002953689321474572,2.7526428375603338e-05,0.003137398105552753,7.364107414484237e-05,0.0,-1.046,-0.089,0.003533937,-0.05380118831800906,0.0032745,0.0041402
-2.4543435000250704,-4.149206381155451,-6.2145964953978465,-2.4785830110179536,0.00037028707481092597,3.4508303121420124e-05,0.0035128248793964765,8.24530992556033e-05,-0.081,-1.244,-0.0,0.004000050999999999,5.5372193444742436e-06,0.0032765,0.0047566
-2.4543435000250704,-4.0678493932896576,-6.338888425305804,-2.4785830110179536,0.00037028707481092597,3.4508303121420124e-05,0.0035128248793964765,8.24530992556033e-05,0.0,-1.125,-0.0,0.004000050999999999,5.5372193444742436e-06,0.0032765,0.0047566
-2.4543435000250704,-4.0678493932896576,-6.2145964953978465,-2.5281546712383127,0.00037028707481092597,3.4508303121420124e-05,0.0035128248793964765,8.24530992556033e-05,0.0,-1.0,-0.047,0.004000050999999999,5.5372193444742436e-06,0.0029234,0.0047608
