log10_input_na+1,log10_input_h4sio4,log10_input_al+3,input_ca+2_mol_l,input_mg+2_mol_l,input_na+1_mol_l,input_k+1_mol_l,si_quartz,si_k-feld-d-ph,total_base_cations_mol_l,base_cation_log_resdual,alkalinity,ionic_strength
-2.7375489102695707,-3.1655792963184672,-9.169411331314855,1.0632358255314063,0.43636880086339763,0.0018299999999999994,0.05244703124408762,1.258,0.336,1.5538469999999998,2.6824478204597653,0.00035221,2.9113
-2.792299888474962,-3.1655792963184672,-9.169411331314855,0.8262807694022666,0.3391186977172659,0.0016132441967903384,0.046234900980003255,1.195,0.157,1.2132482,2.574989222482617,0.00026665,2.4023
-2.7375489102695707,-3.2288908822448366,-9.169411331314855,1.0632358255314063,0.43636880086339763,0.0018299999999999994,0.05244703124408762,1.195,0.181,1.5538469999999998,2.6824478204597653,0.00035221,2.9113
-2.7375489102695707,-3.1655792963184672,-9.352799557941152,1.0632358255314063,0.43636880086339763,0.0018299999999999994,0.05244703124408762,1.258,0.153,1.5538469999999998,2.6824478204597653,0.00035221,2.9113
-3.41029365098214,-3.034621349701581,-8.961143902143323,0.047988825420679435,0.019695373030906453,0.0003887821785529482,0.011142333915689036,1.064,-0.166,0.07921478,1.3898457872204246,4.4323e-05,0.20043
-3.4784995240017826,-3.034621349701581,-8.961143902143323,0.03505325677469812,0.014386411046191714,0.00033227714939540383,0.009522923516960175,1.058,-0.205,0.059294179999999995,1.2640516342526025,4.0197e-05,0.14961
-3.41029365098214,-3.0953137766956127,-8.961143902143323,0.047988825420679435,0.019695373030906453,0.0003887821785529482,0.011142333915689036,1.003,-0.328,0.07921478,1.3898457872204246,4.4323e-05,0.20043
-3.41029365098214,-3.034621349701581,-9.14036678018619,0.047988825420679435,0.019695373030906453,0.0003887821785529482,0.011142333915689036,1.064,-0.345,0.07921478,1.3898457872204246,4.4323e-05,0.20043
-3.9626259361561886,-3.34368393251213,-8.790863194855685,0.003771165133256732,0.001547745822272884,0.00010898684079170209,0.0031235170733315875,0.733,-1.203,0.008551389999999999,0.42307628041261996,2.6544e-05,0.018972
-4.0418784548793125,-3.34368393251213,-8.790863194855685,0.002618005245825235,0.001074470764003707,9.080746356352441e-05,0.002602503758859298,0.733,-1.263,0.006385807,0.2962553554233367,2.5637e-05,0.013655
-3.9626259361561886,-3.4105576111623725,-8.790863194855685,0.003771165133256732,0.001547745822272884,0.00010898684079170209,0.0031235170733315875,0.667,-1.395,0.008551389999999999,0.42307628041261996,2.6544e-05,0.018972
-3.9626259361561886,-3.34368393251213,-8.9666804587528,0.003771165133256732,0.001547745822272884,0.00010898684079170209,0.0031235170733315875,0.733,-1.378,0.008551389999999999,0.42307628041261996,2.6544e-05,0.018972
-4.185717500775448,-3.869226572868179,-6.965589781392207,0.0013498714767309736,0.0005540086060647881,6.520524022124204e-05,0.0018687547929845472,0.207,-1.091,0.003837915,0.07513491881714736,2.4434e-05,0.0076097
