log10_input_na+1,log10_input_h4sio4,log10_input_al+3,log10_input_co3-2,input_ca+2_mol_l,input_mg+2_mol_l,input_na+1_mol_l,input_k+1_mol_l,si_quartz,si_k-feld-d-ph,si_calcite-ph,total_base_cations_mol_l,base_cation_log_resdual,alkalinity,ionic_strength
-2.7375489102695707,-3.1655792963184672,-9.169411331314855,-5.2839966563652006,0.0008517684988972971,0.00016773897134422498,0.0018299999999999994,0.0006552002806918527,0.883,-0.401,-1.867,0.00350471,0.03569165457213493,1.0935e-05,0.0055227
-2.792299888474962,-3.1655792963184672,-9.169411331314855,-5.2839966563652006,0.000661941512617591,0.00013035629817287128,0.0016132441967903384,0.0005775945631483784,0.883,-0.45,-1.959,0.00298309,-0.03429407692727828,1.0876e-05,0.0045535
-2.7375489102695707,-3.2288908822448366,-9.169411331314855,-5.2839966563652006,0.0008517684988972971,0.00016773897134422498,0.0018299999999999994,0.0006552002806918527,0.819,-0.591,-1.867,0.00350471,0.03569165457213493,1.0935e-05,0.0055227
-2.7375489102695707,-3.1655792963184672,-9.352799557941152,-5.2839966563652006,0.0008517684988972971,0.00016773897134422498,0.0018299999999999994,0.0006552002806918527,0.883,-0.585,-1.867,0.00350471,0.03569165457213493,1.0935e-05,0.0055227
-2.7375489102695707,-3.1655792963184672,-9.169411331314855,-5.389676589492504,0.0008517684988972971,0.00016773897134422498,0.0018299999999999994,0.0006552002806918527,0.883,-0.401,-1.972,0.00350471,0.03569165457213493,9.7724e-06,0.0055228
-2.5462675553965193,-3.489633043577232,-9.05209937098032,-4.294557892784706,0.002055342886170085,0.00040475915924593315,0.0028427092626298056,0.0010177835556286223,0.559,-1.091,-0.573,0.00632056,0.29179512519017986,5.932e-05,0.011149
-2.5971929065044495,-3.489633043577232,-9.05209937098032,-4.294557892784706,0.0016256744567507276,0.0003201444541198377,0.0025281747731288567,0.0009051698475366604,0.559,-1.134,-0.651,0.005379210000000001,0.22175806594054168,5.8925e-05,0.009207
-2.5462675553965193,-3.5594257044487767,-9.05209937098032,-4.294557892784706,0.002055342886170085,0.00040475915924593315,0.0028427092626298056,0.0010177835556286223,0.489,-1.3,-0.573,0.00632056,0.29179512519017986,5.932e-05,0.011149
-2.5462675553965193,-3.489633043577232,-9.233141358399926,-4.294557892784706,0.002055342886170085,0.00040475915924593315,0.0028427092626298056,0.0010177835556286223,0.559,-1.272,-0.573,0.00632056,0.29179512519017986,5.932e-05,0.011149
-2.5462675553965193,-3.489633043577232,-9.05209937098032,-4.3804490506404,0.002055342886170085,0.00040475915924593315,0.0028427092626298056,0.0010177835556286223,0.559,-1.091,-0.659,0.00632056,0.29179512519017986,4.9702e-05,0.011151
-2.607872465863501,-3.9318095870742824,-7.6063500820837096,-3.7610938553254574,0.0015476560980752676,0.0003047802803482923,0.0024667636162510956,0.0008831826304744087,0.116,-1.024,-0.136,0.00520246,0.20724831657243867,0.00018731,0.0088341
-2.660029915180771,-3.9318095870742824,-7.6063500820837096,-3.7610938553254574,0.001217193332204864,0.00023970216993867896,0.0021876109311980557,0.0007832367738609463,0.116,-1.069,-0.219,0.00442774,0.13722167770170682,0.00018626,0.0072893
