log10_input_na+1,log10_input_h4sio4,log10_input_al+3,input_ca+2_mol_l,input_mg+2_mol_l,input_na+1_mol_l,input_k+1_mol_l,si_quartz,si_k-feld-d-ph,total_base_cations_mol_l,base_cation_log_resdual,alkalinity,ionic_strength
-2.7375489102695707,-3.1655792963184672,-9.169411331314855,0.016069919120562513,0.0052312741134115754,0.0018299999999999994,0.003986613166658546,0.917,-0.139,0.0271179,0.9242956217185062,5.3155e-05,0.067452
-2.792299888474962,-3.1655792963184672,-9.169411331314855,0.012488541879722778,0.004065420949509001,0.0016132441967903384,0.0035144156043496484,0.915,-0.186,0.021682,0.8271389069081334,5.0764e-05,0.05329
-2.7375489102695707,-3.2288908822448366,-9.169411331314855,0.016069919120562513,0.0052312741134115754,0.0018299999999999994,0.003986613166658546,0.854,-0.328,0.0271179,0.9242956217185062,5.3155e-05,0.067452
-2.7375489102695707,-3.1655792963184672,-9.352799557941152,0.016069919120562513,0.0052312741134115754,0.0018299999999999994,0.003986613166658546,0.917,-0.323,0.0271179,0.9242956217185062,5.3155e-05,0.067452
-3.139959559604575,-3.414554709037477,-9.057794630473007,0.0025187925048606352,0.0008199477501334997,0.0007245034208463225,0.0015783141403470536,0.662,-1.12,0.00564155,0.24243800838875884,4.1864e-05,0.012215
-3.2027587507966664,-3.414554709037477,-9.057794630473007,0.0018862272290774685,0.0006140274634524488,0.0006269620433782141,0.0013658224793042274,0.661,-1.177,0.0044929900000000005,0.14357501881254506,4.0997e-05,0.0094295
-3.139959559604575,-3.482845803218227,-9.057794630473007,0.0025187925048606352,0.0008199477501334997,0.0007245034208463225,0.0015783141403470536,0.593,-1.325,0.00564155,0.24243800838875884,4.1864e-05,0.012215
-3.139959559604575,-3.414554709037477,-9.238950523082467,0.0025187925048606352,0.0008199477501334997,0.0007245034208463225,0.0015783141403470536,0.662,-1.302,0.00564155,0.24243800838875884,4.1864e-05,0.012215
-3.2772077986628623,-3.9109209567067937,-7.364630421362403,0.0013387389962953153,0.0004358024830985666,0.0005281924648879268,0.0011506552104109517,0.165,-1.038,0.0034533899999999998,0.029285193907983908,4.0147e-05,0.0069665
-3.3427519546361193,-3.9109209567067937,-7.364630421362403,0.0009899371035939524,0.0003222562792684051,0.00045420095744142793,0.0009894664028660739,0.165,-1.098,0.00275587,-0.06870170601329889,3.9532e-05,0.0053588
-3.2772077986628623,-3.9891393758409297,-7.364630421362403,0.0013387389962953153,0.0004358024830985666,0.0005281924648879268,0.0011506552104109517,0.086,-1.273,0.0034533899999999998,0.029285193907983908,4.0147e-05,0.0069665
-3.2772077986628623,-3.9109209567067937,-7.511923029789651,0.0013387389962953153,0.0004358024830985666,0.0005281924648879268,0.0011506552104109517,0.165,-1.185,0.0034533899999999998,0.029285193907983908,4.0147e-05,0.0069665
-3.2950126926828793,-4.058025410025251,-6.8716823671086615,0.0012333493979389298,0.00040149478848178726,0.0005069758911897164,0.001104435389614959,0.018,-1.002,0.0032461700000000005,0.002410826653578669,3.9969e-05,0.0064845
-3.360912946536537,-4.058025410025251,-6.8716823671086615,0.0009105118837156772,0.00029640082264886363,0.00043559917992267664,0.0009489428557734473,0.017,-1.063,0.00259145,-0.09541759929276943,3.938e-05,0.0049866
-3.2950126926828793,-4.139185918225756,-6.8716823671086615,0.0012333493979389298,0.00040149478848178726,0.0005069758911897164,0.001104435389614959,-0.064,-1.246,0.0032461700000000005,0.002410826653578669,3.9969e-05,0.0064845
