log10_input_na+1,log10_input_h4sio4,log10_input_al+3,log10_input_co3-2,input_ca+2_mol_l,input_mg+2_mol_l,input_na+1_mol_l,input_k+1_mol_l,si_quartz,si_k-feld-d-ph,si_calcite-ph,total_base_cations_mol_l,base_cation_log_resdual,alkalinity,ionic_strength
-2.7375489102695707,-3.1655792963184672,-9.169411331314855,-5.2839966563652006,0.001603182240031731,0.000419164441208217,0.0018299999999999994,0.0004569399751071909,0.901,-0.525,-2.115,0.0043093,0.12544629618858708,7.0212e-06,0.008304
-2.792299888474962,-3.1655792963184672,-9.169411331314855,-5.2839966563652006,0.0012458935477680992,0.00032574853919589464,0.0016132441967903384,0.0004028173568979222,0.901,-0.572,-2.204,0.00358767,0.045852055885708426,6.9922e-06,0.006698
-2.7375489102695707,-3.2288908822448366,-9.169411331314855,-5.2839966563652006,0.001603182240031731,0.000419164441208217,0.0018299999999999994,0.0004569399751071909,0.838,-0.715,-2.115,0.0043093,0.12544629618858708,7.0212e-06,0.008304
-2.7375489102695707,-3.1655792963184672,-9.352799557941152,-5.2839966563652006,0.001603182240031731,0.000419164441208217,0.0018299999999999994,0.0004569399751071909,0.901,-0.708,-2.115,0.0043093,0.12544629618858708,7.0212e-06,0.008304
-2.7375489102695707,-3.1655792963184672,-9.169411331314855,-5.389676589492504,0.001603182240031731,0.000419164441208217,0.0018299999999999994,0.0004569399751071909,0.901,-0.525,-2.221,0.0043093,0.12544629618858708,5.8972e-06,0.0083041
-2.5581315733393266,-3.4768033164658942,-8.97513075053023,-4.176964393216239,0.0036628367844090963,0.0009576771097110917,0.0027661035030316374,0.0006906793802290658,0.591,-1.114,-0.738,0.008077260000000001,0.39830362949240794,6.9218e-05,0.017113
-2.609294204806113,-3.4768033164658942,-8.97513075053023,-4.176964393216239,0.0028939585339833986,0.0007566479227919175,0.002458701437803472,0.0006139229364950456,0.59,-1.156,-0.812,0.00672327,0.318620119273007,6.8944e-05,0.013884
-2.5581315733393266,-3.546339382795212,-8.97513075053023,-4.176964393216239,0.0036628367844090963,0.0009576771097110917,0.0027661035030316374,0.0006906793802290658,0.521,-1.322,-0.738,0.008077260000000001,0.39830362949240794,6.9218e-05,0.017113
-2.5581315733393266,-3.4768033164658942,-9.154633365540835,-4.176964393216239,0.0036628367844090963,0.0009576771097110917,0.0027661035030316374,0.0006906793802290658,0.591,-1.293,-0.738,0.008077260000000001,0.39830362949240794,6.9218e-05,0.017113
-2.5581315733393266,-3.4768033164658942,-8.97513075053023,-4.260503681080563,0.0036628367844090963,0.0009576771097110917,0.0027661035030316374,0.0006906793802290658,0.591,-1.114,-0.822,0.008077260000000001,0.39830362949240794,5.7435e-05,0.017115
-2.6427183100275315,-3.931541203467396,-7.456183232603311,-3.537074954632429,0.002481098999499218,0.0006487025927175768,0.002276573572063234,0.0005684467056547887,0.135,-1.029,-0.224,0.00597485,0.2673665735160251,0.00029393,0.012101
-2.6955726762280823,-3.931541203467396,-7.456183232603311,-3.537074954632429,0.0019450705629236297,0.0005085537971043757,0.002015706627643003,0.0005033098012342043,0.135,-1.073,-0.305,0.00497266,0.1876283326766725,0.000293,0.0097861
-2.6427183100275315,-4.010172027536744,-7.456183232603311,-3.537074954632429,0.002481098999499218,0.0006487025927175768,0.002276573572063234,0.0005684467056547887,0.057,-1.265,-0.224,0.00597485,0.2673665735160251,0.00029393,0.012101
-2.6427183100275315,-3.931541203467396,-7.605306897255377,-3.537074954632429,0.002481098999499218,0.0006487025927175768,0.002276573572063234,0.0005684467056547887,0.135,-1.178,-0.224,0.00597485,0.2673665735160251,0.00029393,0.012101
-2.6427183100275315,-3.931541203467396,-7.456183232603311,-3.6078164537250776,0.002481098999499218,0.0006487025927175768,0.002276573572063234,0.0005684467056547887,0.135,-1.029,-0.294,0.00597485,0.2673665735160251,0.00025003,0.012105
-2.7804703942337254,-4.054667577332429,-6.945858307127979,-3.1538051635699524,0.0013156486523133958,0.0003439865527467254,0.0016577903442267184,0.00041394026154311395,0.012,-1.005,-0.06,0.0037313299999999997,0.06290322670315134,0.00070261,0.0069714
-2.8360798021184,-4.054667577332429,-6.945858307127979,-3.1538051635699524,0.0010184063754284363,0.00026627025213982983,0.0014585462260773639,0.0003641902055937039,0.012,-1.054,-0.151,0.0031073599999999995,-0.016568862266206286,0.00070107,0.0056191
-2.7804703942337254,-4.135760928879078,-6.945858307127979,-3.1538051635699524,0.0013156486523133958,0.0003439865527467254,0.0016577903442267184,0.00041394026154311395,-0.069,-1.249,-0.06,0.0037313299999999997,0.06290322670315134,0.00070261,0.0069714
