time,q_50cm_m.d,psi01_conc_50cm_mol.L,psi01_flux_50cm_mol.m2.d,psi02_conc_50cm_mol.L,psi02_flux_50cm_mol.m2.d,psi03_conc_50cm_mol.L,psi03_flux_50cm_mol.m2.d,q_100cm_m.d,psi01_conc_100cm_mol.L,psi01_flux_100cm_mol.m2.d,psi02_conc_100cm_mol.L,psi02_flux_100cm_mol.m2.d,psi03_conc_100cm_mol.L,psi03_flux_100cm_mol.m2.d,q_200cm_m.d,psi01_conc_200cm_mol.L,psi01_flux_200cm_mol.m2.d,psi02_conc_200cm_mol.L,psi02_flux_200cm_mol.m2.d,psi03_conc_200cm_mol.L,psi03_flux_200cm_mol.m2.d,q_300cm_m.d,psi01_conc_300cm_mol.L,psi01_flux_300cm_mol.m2.d,psi02_conc_300cm_mol.L,psi02_flux_300cm_mol.m2.d,psi03_conc_300cm_mol.L,psi03_flux_300cm_mol.m2.d,psi01_cumulative_50cm_mol.m2,psi02_cumulative_50cm_mol.m2,psi03_cumulative_50cm_mol.m2,psi01_cumulative_100cm_mol.m2,psi02_cumulative_100cm_mol.m2,psi03_cumulative_100cm_mol.m2,psi01_cumulative_200cm_mol.m2,psi02_cumulative_200cm_mol.m2,psi03_cumulative_200cm_mol.m2,psi01_cumulative_300cm_mol.m2,psi02_cumulative_300cm_mol.m2,psi03_cumulative_300cm_mol.m2
1e-07,-2.188404623025063e-08,0.001,2.188404623025063e-08,0.1,2.1884046230250633e-06,1e-08,2.1884046230250633e-13,-2.037238431002442e-08,0.001,2.037238431002442e-08,0.1,2.037238431002442e-06,1e-08,2.0372384310024421e-13,-2.0087119095412946e-08,0.001,2.0087119095412946e-08,0.001,2.0087119095412946e-08,1e-08,2.0087119095412947e-13,-2.007458834536516e-08,0.001,2.007458834536516e-08,0.001,2.007458834536516e-08,1e-08,2.0074588345365163e-13,0.0,2.1665205767948126e-13,-2.1883827389788327e-15,0.0,2.0168660466924175e-13,-2.0372180586181318e-15,0.0,0.0,-2.0086918224221994e-15,0.0,0.0,-2.0074387599481706e-15
3.16025e-07,-2.188404623025063e-08,0.001,2.188404623025063e-08,0.1,2.1884046230250633e-06,1e-08,2.1884046230250633e-13,-2.037238431002442e-08,0.001,2.037238431002442e-08,0.1,2.037238431002442e-06,1e-08,2.0372384310024421e-13,-2.0087119095412946e-08,0.001,2.0087119095412946e-08,0.001,2.0087119095412946e-08,1e-08,2.0087119095412947e-13,-2.007458834536516e-08,0.001,2.007458834536516e-08,0.001,2.007458834536516e-08,1e-08,2.0074588345365163e-13,0.0,6.846746652815807e-13,-6.915836550857858e-15,0.0,6.373800924059714e-13,-6.438118369747952e-15,0.0,0.0,-6.347968331809756e-15,0.0,0.0,-6.344008341126207e-15
7.82691e-07,-2.188404623025063e-08,0.001,2.188404623025063e-08,0.1,2.1884046230250633e-06,1e-08,2.1884046230250633e-13,-2.037238431002442e-08,0.001,2.037238431002442e-08,0.1,2.037238431002442e-06,1e-08,2.0372384310024421e-13,-2.0087119095412946e-08,0.001,2.0087119095412946e-08,0.001,2.0087119095412946e-08,1e-08,2.0087119095412947e-13,-2.007458834536516e-08,0.001,2.007458834536516e-08,0.001,2.007458834536516e-08,1e-08,2.0074588345365163e-13,0.0,1.6957161567721089e-12,-1.7128274743540818e-14,0.0,1.578582902951735e-12,-1.5945122395178844e-14,0.0,0.0,-1.5721850111834535e-14,0.0,0.0,-1.5712042504625936e-14
1.79081e-06,-2.188404623025063e-08,0.001,2.188404623025063e-08,0.1,2.1884046230250633e-06,1e-08,2.1884046230250633e-13,-2.037238431002442e-08,0.001,2.037238431002442e-08,0.1,2.037238431002442e-06,1e-08,2.0372384310024421e-13,-2.0087119095412946e-08,0.001,2.0087119095412946e-08,0.001,2.0087119095412946e-08,1e-08,2.0087119095412947e-13,-2.007458834536516e-08,0.001,2.007458834536516e-08,0.001,2.007458834536516e-08,1e-08,2.0074588345365163e-13,0.0,3.879826714129918e-12,-3.918977692790684e-14,0.0,3.6118238850772486e-12,-3.648270471553937e-14,0.0,0.0,-3.597185402511899e-14,0.0,0.0,-3.594941405702783e-14
3.96858e-06,-2.188404623025063e-08,0.001,2.188404623025063e-08,0.1,2.1884046230250633e-06,1e-08,2.1884046230250633e-13,-2.037238431002442e-08,0.001,2.037238431002442e-08,0.1,2.037238431002442e-06,1e-08,2.0372384310024421e-13,-2.0087119095412946e-08,0.001,2.0087119095412946e-08,0.001,2.0087119095412946e-08,1e-08,2.0087119095412947e-13,-2.007458834536516e-08,0.001,2.007458834536516e-08,0.001,2.007458834536516e-08,1e-08,2.0074588345365163e-13,0.0,8.598010230656357e-12,-8.684771970256618e-14,0.0,8.004094255582595e-12,-8.084862843070746e-14,0.0,0.0,-7.971654192628292e-14,0.0,0.0,-7.966681313955112e-14
8.67312e-06,-2.188404623025063e-08,0.001,2.188404623025063e-08,0.1,2.1884046230250633e-06,1e-08,2.1884046230250633e-13,-2.037238431002442e-08,0.001,2.037238431002442e-08,0.1,2.037238431002442e-06,1e-08,2.0372384310024421e-13,-2.0087119095412946e-08,0.001,2.0087119095412946e-08,0.001,2.0087119095412946e-08,1e-08,2.0087119095412947e-13,-2.007458834536516e-08,0.001,2.007458834536516e-08,0.001,2.007458834536516e-08,1e-08,2.0074588345365163e-13,0.0,1.8790492945010623e-11,-1.8980106101092098e-13,0.0,1.749252124688894e-11,-1.7669036688562092e-13,0.0,0.0,-1.7421625218886424e-13,0.0,0.0,-1.741075725768168e-13
1.74745e-05,-2.188404623025063e-08,0.001,2.188404623025063e-08,0.1,2.1884046230250633e-06,1e-08,2.1884046230250633e-13,-2.037238431002442e-08,0.001,2.037238431002442e-08,0.1,2.037238431002442e-06,1e-08,2.0372384310024421e-13,-2.0087119095412946e-08,0.001,2.0087119095412946e-08,0.001,2.0087119095412946e-08,1e-08,2.0087119095412947e-13,-2.007458834536516e-08,0.001,2.007458834536516e-08,0.001,2.007458834536516e-08,1e-08,2.0074588345365163e-13,0.0,3.785886381920095e-11,-3.824089417228562e-13,0.0,3.524372573292665e-11,-3.5599366965322547e-13,0.0,0.0,-3.5100885250916725e-13,0.0,0.0,-3.507898861071431e-13
3.39404e-05,-2.188404623025063e-08,0.001,2.188404623025063e-08,0.1,2.1884046230250633e-06,1e-08,2.1884046230250633e-13,-2.037238431002442e-08,0.001,2.037238431002442e-08,0.1,2.037238431002442e-06,1e-08,2.0372384310024421e-13,-2.0087119095412946e-08,0.001,2.0087119095412946e-08,0.001,2.0087119095412946e-08,1e-08,2.0087119095412947e-13,-2.007458834536516e-08,0.001,2.007458834536516e-08,0.001,2.007458834536516e-08,1e-08,2.0074588345365163e-13,0.0,7.353257498464665e-11,-7.427458551403718e-13,0.0,6.845324037115932e-11,-6.914399579672285e-13,0.0,0.0,-6.817580392973841e-13,0.0,0.0,-6.813327448814489e-13
6.47452e-05,-2.188404623025063e-08,0.001,2.188404623025063e-08,0.1,2.1884046230250633e-06,1e-08,2.1884046230250633e-13,-2.037238431002442e-08,0.001,2.037238431002442e-08,0.1,2.037238431002442e-06,1e-08,2.0372384310024421e-13,-2.0087119095412946e-08,0.001,2.0087119095412946e-08,0.001,2.0087119095412946e-08,1e-08,2.0087119095412947e-13,-2.007458834536516e-08,0.001,2.007458834536516e-08,0.001,2.007458834536516e-08,1e-08,2.0074588345365163e-13,0.0,1.4027180804869548e-10,-1.4168727811173235e-12,0.0,1.3058239556630992e-10,-1.319000906488427e-12,0.0,0.0,-1.300531537810898e-12,0.0,0.0,-1.2997202400059632e-12
0.000122376,-2.188404623025063e-08,0.001,2.188404623025063e-08,0.1,2.1884046230250633e-06,1e-08,2.1884046230250633e-13,-2.037238431002442e-08,0.001,2.037238431002442e-08,0.1,2.037238431002442e-06,1e-08,2.0372384310024421e-13,-2.0087119095412946e-08,0.001,2.0087119095412946e-08,0.001,2.0087119095412946e-08,1e-08,2.0087119095412947e-13,-2.007458834536516e-08,0.001,2.007458834536516e-08,0.001,2.007458834536516e-08,1e-08,2.0074588345365163e-13,0.0,2.6513012210584195e-10,-2.6780552606527366e-12,0.0,2.4681599933003127e-10,-2.493065971414525e-12,0.0,0.0,-2.4581567046073906e-12,0.0,0.0,-2.4566232568741734e-12
0.00021881,-2.1913409538126666e-08,0.001,2.1913409538126666e-08,0.1,2.1913409538126666e-06,1e-08,2.1913409538126667e-13,-2.037238431002442e-08,0.001,2.037238431002442e-08,0.1,2.037238431002442e-06,1e-08,2.0372384310024421e-13,-2.0084807574228138e-08,0.001,2.0084807574228138e-08,0.001,2.0084807574228138e-08,1e-08,2.008480757422814e-13,-2.007458834536516e-08,0.001,2.007458834536516e-08,0.001,2.007458834536516e-08,1e-08,2.0074588345365163e-13,0.0,4.74336697910413e-10,-4.7912318640750895e-12,0.0,4.413104596767679e-10,-4.457636834062334e-12,0.0,0.0,-4.394995669637171e-12,0.0,0.0,-4.392476750642592e-12
0.000380176,-2.1913409538126666e-08,0.001,2.1913409538126666e-08,0.1,2.1913409538126666e-06,1e-08,2.1913409538126667e-13,-2.037238431002442e-08,0.001,2.037238431002442e-08,0.1,2.037238431002442e-06,1e-08,2.0372384310024421e-13,-2.0084807574228138e-08,0.001,2.0084807574228138e-08,0.001,2.0084807574228138e-08,1e-08,2.008480757422814e-13,-2.007458834536516e-08,0.001,2.007458834536516e-08,0.001,2.007458834536516e-08,1e-08,2.0074588345365163e-13,0.0,8.244085430198183e-10,-8.327275746812002e-12,0.0,7.667640661673365e-10,-7.745014126532068e-12,0.0,0.0,-7.635968318609478e-12,0.0,0.0,-7.631800380020557e-12
0.000650192,-2.1884346660754954e-08,0.001,2.1884346660754954e-08,0.1,2.1884346660754955e-06,1e-08,2.1884346660754957e-13,-2.037238431002442e-08,0.001,2.037238431002442e-08,0.1,2.037238431002442e-06,1e-08,2.0372384310024421e-13,-2.0082496053043327e-08,0.001,2.0082496053043327e-08,0.001,2.0082496053043327e-08,1e-08,2.008249605304333e-13,-2.007458834536516e-08,0.001,2.007458834536516e-08,0.001,2.007458834536516e-08,1e-08,2.0074588345365163e-13,0.0,1.4094117940669089e-09,-1.4236340403524931e-11,0.0,1.3113501686310363e-09,-1.3245828839690403e-11,0.0,0.0,-1.3058509346915481e-11,0.0,0.0,-1.305220622208221e-11
0.001,-2.1913710373021406e-08,0.001,2.1913710373021406e-08,0.1,2.1913710373021406e-06,1e-08,2.1913710373021407e-13,-2.03350037883544e-08,0.001,2.03350037883544e-08,0.1,2.03350037883544e-06,1e-08,2.03350037883544e-13,-2.0082496053043327e-08,0.001,2.0082496053043327e-08,0.001,2.0082496053043327e-08,1e-08,2.008249605304333e-13,-2.007458834536516e-08,0.001,2.007458834536516e-08,0.001,2.007458834536516e-08,1e-08,2.0074588345365163e-13,0.0,2.1683053226853304e-09,-2.1901854945778823e-11,0.0,2.0155715221455072e-09,-2.035910471141703e-11,0.0,0.0,-2.0083456876060668e-11,0.0,0.0,-2.0074387599481708e-11
0.00158534,-2.1914011213331356e-08,0.001,2.1914011213331356e-08,0.1,2.1914011213331356e-06,1e-08,2.1914011213331357e-13,-2.03350037883544e-08,0.001,2.03350037883544e-08,0.1,2.03350037883544e-06,1e-08,2.03350037883544e-13,-2.008018453185852e-08,0.001,2.008018453185852e-08,0.001,2.008018453185852e-08,1e-08,2.0080184531858523e-13,-2.007458834536516e-08,0.001,2.007458834536516e-08,0.001,2.007458834536516e-08,1e-08,2.0074588345365163e-13,0.0,3.438192907722856e-09,-3.472887399791696e-11,0.0,3.1939577427755684e-09,-3.226187679998122e-11,0.0,0.0,-3.1837074552586597e-11,0.0,0.0,-3.182472963696233e-11
0.0025648,-2.1914612910194292e-08,0.001,2.1914612910194292e-08,0.1,2.1914612910194292e-06,1e-08,2.1914612910194293e-13,-2.03350037883544e-08,0.001,2.03350037883544e-08,0.1,2.03350037883544e-06,1e-08,2.03350037883544e-13,-2.008018453185852e-08,0.001,2.008018453185852e-08,0.001,2.008018453185852e-08,1e-08,2.0080184531858523e-13,-2.007458834536516e-08,0.001,2.007458834536516e-08,0.001,2.007458834536516e-08,1e-08,2.0074588345365163e-13,0.0,5.563177097063727e-09,-5.6193146114068254e-11,0.0,5.165772701019187e-09,-5.2179000437294717e-11,0.0,0.0,-5.150461541678533e-11,0.0,0.0,-5.148678931515068e-11
0.00420376,-2.191521462871265e-08,0.001,2.191521462871265e-08,0.1,2.191521462871265e-06,1e-08,2.1915214628712652e-13,-2.0372686741371668e-08,0.001,2.0372686741371668e-08,0.1,2.037268674137167e-06,1e-08,2.037268674137167e-13,-2.008018453185852e-08,0.001,2.008018453185852e-08,0.001,2.008018453185852e-08,1e-08,2.0080184531858523e-13,-2.007458834536516e-08,0.001,2.007458834536516e-08,0.001,2.007458834536516e-08,1e-08,2.0074588345365163e-13,0.0,9.119074953683341e-09,-9.211094710034146e-11,0.0,8.4713845485214e-09,-8.556868519874661e-11,0.0,0.0,-8.441490555092777e-11,0.0,0.0,-8.438790761519722e-11
0.00694625,-2.194578628636753e-08,0.000999999,2.1945764340581242e-08,0.0999999,2.1945764340581242e-06,9.99999e-09,2.1945764340581245e-13,-2.0335305664782577e-08,0.001,2.0335305664782577e-08,0.1,2.0335305664782575e-06,1e-08,2.033530566478258e-13,-2.008018453185852e-08,0.001,2.008018453185852e-08,0.001,2.008018453185852e-08,1e-08,2.0080184531858523e-13,-2.007458834536516e-08,0.001,2.007458834536516e-08,0.001,2.007458834536516e-08,1e-08,2.0074588345365163e-13,-6.018609943854719e-17,1.5077492778890908e-08,-1.522964446724491e-10,0.0,1.3992552419349748e-08,-1.4133749993763185e-10,0.0,0.0,-1.394840601306517e-10,0.0,0.0,-1.394417148628998e-10
0.0115353,-2.1947895454872418e-08,0.000999999,2.194787350697696e-08,0.0999999,2.194787350697696e-06,9.99999e-09,2.1947873506976963e-13,-2.0335607547084407e-08,0.001,2.0335607547084407e-08,0.1,2.0335607547084406e-06,1e-08,2.033560754708441e-13,-2.0077873010673967e-08,0.001,2.0077873010673967e-08,0.001,2.0077873010673967e-08,1e-08,2.007787301067397e-13,-2.007458834536516e-08,0.001,2.007458834536516e-08,0.001,2.007458834536516e-08,1e-08,2.0074588345365163e-13,-1.6090608908484803e-16,2.5048761680972986e-08,-2.530154271107422e-10,0.0,2.3231343280930572e-08,-2.346576865403814e-10,0.0,0.0,-2.3162150188665366e-10,0.0,0.0,-2.3156408327630132e-10
0.0192143,-2.1951511790557482e-08,0.000999999,2.1951489839045687e-08,0.0999999,2.1951489839045692e-06,9.99999e-09,2.1951489839045692e-13,-2.033621132931079e-08,0.001,2.033621132931079e-08,0.1,2.0336211329310793e-06,1e-08,2.0336211329310794e-13,-2.008018453185852e-08,0.001,2.008018453185852e-08,0.001,2.008018453185852e-08,1e-08,2.0080184531858523e-13,-2.007458834536516e-08,0.001,2.007458834536516e-08,0.001,2.007458834536516e-08,1e-08,2.0074588345365163e-13,-3.294717481551558e-16,4.173674506933648e-08,-4.2157940049552836e-10,0.0,3.869135819391055e-08,-3.90817891720491e-10,0.0,0.0,-3.85815696949425e-10,0.0,0.0,-3.8571530565272136e-10
0.0320637,-2.1987227402355724e-08,0.000999998,2.1987183427900917e-08,0.0999998,2.1987183427900916e-06,9.99998e-09,2.198718342790092e-13,-2.0374501453049096e-08,0.001,2.0374501453049096e-08,0.1,2.0374501453049097e-06,1e-08,2.0374501453049098e-13,-2.007787301067371e-08,0.001,2.007787301067371e-08,0.001,2.007787301067371e-08,1e-08,2.0077873010673711e-13,-2.007458834536516e-08,0.001,2.007458834536516e-08,0.001,2.007458834536516e-08,1e-08,2.0074588345365163e-13,-8.945171077558466e-16,6.970643386339966e-08,-7.040992550582106e-10,0.0,6.460956997202064e-08,-6.526153926901104e-10,0.0,0.0,-6.43801738526561e-10,0.0,0.0,-6.436591416735017e-10
0.049799,-2.202508037109615e-08,0.000999997,2.202501429585504e-08,0.0999997,2.2025014295855036e-06,9.99997e-09,2.202501429585504e-13,-2.0375711378552597e-08,0.001,2.0375711378552597e-08,0.1,2.0375711378552598e-06,1e-08,2.03757113785526e-13,-2.007787301067371e-08,0.001,2.007787301067371e-08,0.001,2.007787301067371e-08,1e-08,2.0077873010673711e-13,-2.007458834536516e-08,0.001,2.007458834536516e-08,0.001,2.007458834536516e-08,1e-08,2.0074588345365163e-13,-2.0663813314266317e-15,1.0837783605962194e-07,-1.094716756761352e-09,0.0,1.00385136019213e-07,-1.0139811330086142e-09,0.0,0.0,-9.998852788617505e-10,0.0,0.0,-9.996844280665897e-10
0.0756158,-2.2096923438557566e-08,0.000999995,2.2096812953940376e-08,0.0999995,2.209681295394038e-06,9.99995e-09,2.2096812953940374e-13,-2.0377526443408483e-08,0.000999999,2.0377506065882038e-08,0.0999999,2.0377506065882038e-06,9.99999e-09,2.037750606588204e-13,-2.007787301067371e-08,0.001,2.007787301067371e-08,0.001,2.007787301067371e-08,1e-08,2.0077873010673711e-13,-2.007458834536516e-08,0.001,2.007458834536516e-08,0.001,2.007458834536516e-08,1e-08,2.0074588345365163e-13,-4.9187405965138815e-15,1.648542642735222e-07,-1.665182905099898e-09,-5.260825247414971e-16,1.5246725335469513e-07,-1.540058396872816e-09,0.0,0.0,-1.5182265273393918e-09,0.0,0.0,-1.5179408778448889e-09
0.11352,-2.217433254200565e-08,0.000999993,2.2174177321677855e-08,0.0999993,2.217417732167786e-06,9.99993e-09,2.2174177321677855e-13,-2.0380249438105016e-08,0.000999999,2.0380229057855574e-08,0.0999999,2.0380229057855576e-06,9.99999e-09,2.038022905785558e-13,-2.0077873010673967e-08,0.001,2.0077873010673967e-08,0.001,2.0077873010673967e-08,1e-08,2.007787301067397e-13,-2.007458834536516e-08,0.001,2.007458834536516e-08,0.001,2.007458834536516e-08,1e-08,2.0074588345365163e-13,-1.0802242945307897e-14,2.4806320914161767e-07,-2.5056748356940685e-09,-1.2985795756215005e-15,2.2894438412942023e-07,-2.3125477226618536e-09,0.0,0.0,-2.2792546311534385e-09,0.0,0.0,-2.2788444802931632e-09
0.170012,-2.2168943054977517e-08,0.000999993,2.2168787872376133e-08,0.0999993,2.216878787237613e-06,9.99993e-09,2.216878787237613e-13,-2.042249533297998e-08,0.000999998,2.042245448798931e-08,0.0999998,2.042245448798931e-06,9.99998e-09,2.0422454487989316e-13,-2.007787301067371e-08,0.001,2.007787301067371e-08,0.001,2.007787301067371e-08,1e-08,2.0077873010673711e-13,-2.007458834536516e-08,0.001,2.007458834536516e-08,0.001,2.007458834536516e-08,1e-08,2.0074588345365163e-13,-1.9568818462688968e-14,3.7204675765918316e-07,-3.7580302431642135e-09,-3.605994788416485e-15,3.4316120641661876e-07,-3.4662437919595693e-09,0.0,0.0,-3.4134824908803963e-09,0.0,0.0,-3.412886784563084e-09
0.240404,-2.2130672108383513e-08,0.000999999,2.2130649977711402e-08,0.0999999,2.2130649977711405e-06,9.99999e-09,2.2130649977711405e-13,-2.042886448700546e-08,0.000999996,2.0428782771547512e-08,0.0999996,2.0428782771547515e-06,9.99996e-09,2.0428782771547516e-13,-2.0078222399670826e-08,0.001,2.0078222399670826e-08,0.001,2.0078222399670826e-08,1e-08,2.0078222399670827e-13,-2.007458834536516e-08,0.001,2.007458834536516e-08,0.001,2.007458834536516e-08,1e-08,2.0074588345365163e-13,-2.1126640733902417e-14,5.26271006711236e-07,-5.315836936010413e-09,-9.358109304352037e-15,4.855254654731268e-07,-4.9042580407000894e-09,0.0,0.0,-4.826814588575714e-09,0.0,0.0,-4.8259630764658e-09
0.334546,-2.193534471696622e-08,0.00100002,2.1935783423860557e-08,0.100002,2.1935783423860556e-06,1.00002e-08,2.1935783423860557e-13,-2.051344144689559e-08,0.000999994,2.0513318366246907e-08,0.0999994,2.051331836624691e-06,9.99994e-09,2.051331836624691e-13,-2.0080533961080017e-08,0.001,2.0080533961080017e-08,0.001,2.0080533961080017e-08,1e-08,2.008053396108002e-13,-2.0070666761394473e-08,0.001,2.0070666761394473e-08,0.001,2.0070666761394473e-08,1e-08,2.0070666761394476e-13,2.0174103712853498e-14,7.307138217977994e-07,-7.3808535075698165e-09,-2.094516773268291e-14,6.767107708319548e-07,-6.835415133745557e-09,0.0,0.0,-6.717217312523427e-09,0.0,0.0,-6.715436891789896e-09
