time,q_50cm_m.d,psi01_conc_50cm_mol.L,psi01_flux_50cm_mol.m2.d,psi02_conc_50cm_mol.L,psi02_flux_50cm_mol.m2.d,psi03_conc_50cm_mol.L,psi03_flux_50cm_mol.m2.d,q_100cm_m.d,psi01_conc_100cm_mol.L,psi01_flux_100cm_mol.m2.d,psi02_conc_100cm_mol.L,psi02_flux_100cm_mol.m2.d,psi03_conc_100cm_mol.L,psi03_flux_100cm_mol.m2.d,q_200cm_m.d,psi01_conc_200cm_mol.L,psi01_flux_200cm_mol.m2.d,psi02_conc_200cm_mol.L,psi02_flux_200cm_mol.m2.d,psi03_conc_200cm_mol.L,psi03_flux_200cm_mol.m2.d,q_300cm_m.d,psi01_conc_300cm_mol.L,psi01_flux_300cm_mol.m2.d,psi02_conc_300cm_mol.L,psi02_flux_300cm_mol.m2.d,psi03_conc_300cm_mol.L,psi03_flux_300cm_mol.m2.d,psi01_cumulative_50cm_mol.m2,psi02_cumulative_50cm_mol.m2,psi03_cumulative_50cm_mol.m2,psi01_cumulative_100cm_mol.m2,psi02_cumulative_100cm_mol.m2,psi03_cumulative_100cm_mol.m2,psi01_cumulative_200cm_mol.m2,psi02_cumulative_200cm_mol.m2,psi03_cumulative_200cm_mol.m2,psi01_cumulative_300cm_mol.m2,psi02_cumulative_300cm_mol.m2,psi03_cumulative_300cm_mol.m2
1e-07,-2.139846995817271e-08,0.001,2.139846995817271e-08,0.1,2.139846995817271e-06,1e-08,2.1398469958172712e-13,-1.9779278420365823e-08,0.001,1.9779278420365823e-08,0.1,1.9779278420365822e-06,1e-08,1.9779278420365825e-13,-1.949310638567381e-08,0.001,1.949310638567381e-08,0.001,1.949310638567381e-08,1e-08,1.949310638567381e-13,-1.9491697960425803e-08,0.001,1.9491697960425803e-08,0.001,1.9491697960425803e-08,1e-08,1.9491697960425805e-13,0.0,2.118448525859098e-13,-2.1398255973473127e-15,0.0,1.9581485636162165e-13,-1.977908062758162e-15,0.0,0.0,-1.9492911454609953e-15,0.0,0.0,-1.94915030434462e-15
3.64575e-07,-2.139846995817271e-08,0.001,2.139846995817271e-08,0.1,2.139846995817271e-06,1e-08,2.1398469958172712e-13,-1.9779278420365823e-08,0.001,1.9779278420365823e-08,0.1,1.9779278420365822e-06,1e-08,1.9779278420365825e-13,-1.949310638567381e-08,0.001,1.949310638567381e-08,0.001,1.949310638567381e-08,1e-08,1.949310638567381e-13,-1.9491697960425803e-08,0.001,1.9491697960425803e-08,0.001,1.9491697960425803e-08,1e-08,1.9491697960425805e-13,0.0,7.723333713150807e-13,-7.801269171528966e-15,0.0,7.138920125803822e-13,-7.210958319800569e-15,0.0,0.0,-7.106628193564424e-15,0.0,0.0,-7.106114722064398e-15
9.36123e-07,-2.139846995817271e-08,0.001,2.139846995817271e-08,0.1,2.139846995817271e-06,1e-08,2.1398469958172712e-13,-1.9779278420365823e-08,0.001,1.9779278420365823e-08,0.1,1.9779278420365822e-06,1e-08,1.9779278420365825e-13,-1.949310638567381e-08,0.001,1.949310638567381e-08,0.001,1.949310638567381e-08,1e-08,1.949310638567381e-13,-1.9491697960425803e-08,0.001,1.9491697960425803e-08,0.001,1.9491697960425803e-08,1e-08,1.9491697960425805e-13,0.0,1.983128389372797e-12,-2.0031399576655584e-14,0.0,1.8330679078181036e-12,-1.851565229433359e-14,0.0,0.0,-1.8247762749623835e-14,0.0,0.0,-1.824644430353999e-14
2.17081e-06,-2.139846995817271e-08,0.001,2.139846995817271e-08,0.1,2.139846995817271e-06,1e-08,2.1398469958172712e-13,-1.9779278420365823e-08,0.001,1.9779278420365823e-08,0.1,1.9779278420365822e-06,1e-08,1.9779278420365825e-13,-1.949310638567381e-08,0.001,1.949310638567381e-08,0.001,1.949310638567381e-08,1e-08,1.949310638567381e-13,-1.9491697960425803e-08,0.001,1.9491697960425803e-08,0.001,1.9491697960425803e-08,1e-08,1.9491697960425805e-13,0.0,4.598749244420189e-12,-4.64515480497752e-14,0.0,4.250768483383719e-12,-4.293662601716046e-14,0.0,0.0,-4.2315407114781833e-14,0.0,0.0,-4.2312349721743444e-14
4.83803e-06,-2.139846995817271e-08,0.001,2.139846995817271e-08,0.1,2.139846995817271e-06,1e-08,2.1398469958172712e-13,-1.9779278420365823e-08,0.001,1.9779278420365823e-08,0.1,1.9779278420365822e-06,1e-08,1.9779278420365825e-13,-1.949310638567381e-08,0.001,1.949310638567381e-08,0.001,1.949310638567381e-08,1e-08,1.949310638567381e-13,-1.9491697960425803e-08,0.001,1.9491697960425803e-08,0.001,1.9491697960425803e-08,1e-08,1.9491697960425805e-13,0.0,1.0249117521562092e-11,-1.0352540434734219e-13,0.0,9.473581495232163e-12,-9.56917854486587e-14,0.0,0.0,-9.430729040474658e-14,0.0,0.0,-9.430047646928401e-14
1.05999e-05,-2.139846995817271e-08,0.001,2.139846995817271e-08,0.1,2.139846995817271e-06,1e-08,2.1398469958172712e-13,-1.9779278420365823e-08,0.001,1.9779278420365823e-08,0.1,1.9779278420365822e-06,1e-08,1.9779278420365825e-13,-1.949310638567381e-08,0.001,1.949310638567381e-08,0.001,1.949310638567381e-08,1e-08,1.949310638567381e-13,-1.9491697960425803e-08,0.001,1.9491697960425803e-08,0.001,1.9491697960425803e-08,1e-08,1.9491697960425805e-13,0.0,2.2455342529253855e-11,-2.268193734932178e-13,0.0,2.0756178959475536e-11,-2.0965627674430243e-13,0.0,0.0,-2.0662291212772005e-13,0.0,0.0,-2.0660798311022536e-13
2.13793e-05,-2.139846995817271e-08,0.001,2.139846995817271e-08,0.1,2.139846995817271e-06,1e-08,2.1398469958172712e-13,-1.9779278420365823e-08,0.001,1.9779278420365823e-08,0.1,1.9779278420365822e-06,1e-08,1.9779278420365825e-13,-1.949310638567381e-08,0.001,1.949310638567381e-08,0.001,1.949310638567381e-08,1e-08,1.949310638567381e-13,-1.9491697960425803e-08,0.001,1.9491697960425803e-08,0.001,1.9491697960425803e-08,1e-08,1.9491697960425805e-13,0.0,4.529094656889942e-11,-4.57479733933674e-13,0.0,4.186384558612018e-11,-4.228628984612558e-13,0.0,0.0,-4.167448018615426e-13,0.0,0.0,-4.167146910167493e-13
4.15458e-05,-2.139846995817271e-08,0.001,2.139846995817271e-08,0.1,2.139846995817271e-06,1e-08,2.1398469958172712e-13,-1.9779278420365823e-08,0.001,1.9779278420365823e-08,0.1,1.9779278420365822e-06,1e-08,1.9779278420365825e-13,-1.949310638567381e-08,0.001,1.949310638567381e-08,0.001,1.949310638567381e-08,1e-08,1.949310638567381e-13,-1.9491697960425803e-08,0.001,1.9491697960425803e-08,0.001,1.9491697960425803e-08,1e-08,1.9491697960425805e-13,0.0,8.801263876563693e-11,-8.890076630227198e-13,0.0,8.13528485942866e-11,-8.217377279373804e-13,0.0,0.0,-8.098486007109342e-13,0.0,0.0,-8.09790087142407e-13
7.92739e-05,-2.139846995817271e-08,0.001,2.139846995817271e-08,0.1,2.139846995817271e-06,1e-08,2.1398469958172712e-13,-1.9779278420365823e-08,0.001,1.9779278420365823e-08,0.1,1.9779278420365822e-06,1e-08,1.9779278420365825e-13,-1.949310638567381e-08,0.001,1.949310638567381e-08,0.001,1.949310638567381e-08,1e-08,1.949310638567381e-13,-1.9491697960425803e-08,0.001,1.9491697960425803e-08,0.001,1.9491697960425803e-08,1e-08,1.9491697960425805e-13,0.0,1.6793767659410156e-10,-1.6963232042155111e-12,0.0,1.5523007341725557e-10,-1.5679648597628425e-12,0.0,0.0,-1.5452791133616039e-12,0.0,0.0,-1.5451674631158494e-12
0.000142405,-2.139846995817271e-08,0.001,2.139846995817271e-08,0.1,2.139846995817271e-06,1e-08,2.1398469958172712e-13,-1.9779278420365823e-08,0.001,1.9779278420365823e-08,0.1,1.9779278420365822e-06,1e-08,1.9779278420365825e-13,-1.949310638567381e-08,0.001,1.949310638567381e-08,0.001,1.949310638567381e-08,1e-08,1.949310638567381e-13,-1.9491697960425803e-08,0.001,1.9491697960425803e-08,0.001,1.9491697960425803e-08,1e-08,1.9491697960425805e-13,0.0,3.016776623249649e-10,-3.0472186419024402e-12,0.0,2.788501462017673e-10,-2.8166399767707606e-12,0.0,0.0,-2.77588805569373e-12,0.0,0.0,-2.775687490901956e-12
