time,q_50cm_m.d,psi01_conc_50cm_mol.L,psi01_flux_50cm_mol.m2.d,psi02_conc_50cm_mol.L,psi02_flux_50cm_mol.m2.d,psi03_conc_50cm_mol.L,psi03_flux_50cm_mol.m2.d,q_100cm_m.d,psi01_conc_100cm_mol.L,psi01_flux_100cm_mol.m2.d,psi02_conc_100cm_mol.L,psi02_flux_100cm_mol.m2.d,psi03_conc_100cm_mol.L,psi03_flux_100cm_mol.m2.d,q_200cm_m.d,psi01_conc_200cm_mol.L,psi01_flux_200cm_mol.m2.d,psi02_conc_200cm_mol.L,psi02_flux_200cm_mol.m2.d,psi03_conc_200cm_mol.L,psi03_flux_200cm_mol.m2.d,q_300cm_m.d,psi01_conc_300cm_mol.L,psi01_flux_300cm_mol.m2.d,psi02_conc_300cm_mol.L,psi02_flux_300cm_mol.m2.d,psi03_conc_300cm_mol.L,psi03_flux_300cm_mol.m2.d,psi01_cumulative_50cm_mol.m2,psi02_cumulative_50cm_mol.m2,psi03_cumulative_50cm_mol.m2,psi01_cumulative_100cm_mol.m2,psi02_cumulative_100cm_mol.m2,psi03_cumulative_100cm_mol.m2,psi01_cumulative_200cm_mol.m2,psi02_cumulative_200cm_mol.m2,psi03_cumulative_200cm_mol.m2,psi01_cumulative_300cm_mol.m2,psi02_cumulative_300cm_mol.m2,psi03_cumulative_300cm_mol.m2
1e-07,-1.6861964718265358e-08,0.001,1.6861964718265358e-08,0.1,1.6861964718265359e-06,1e-08,1.686196471826536e-13,-1.5558799255129658e-08,0.001,1.5558799255129658e-08,0.1,1.5558799255129658e-06,1e-08,1.555879925512966e-13,-1.5370616135211223e-08,0.001,1.5370616135211223e-08,0.001,1.5370616135211223e-08,1e-08,1.5370616135211225e-13,-1.5325984152551354e-08,0.001,1.5325984152551354e-08,0.001,1.5325984152551354e-08,1e-08,1.5325984152551356e-13,0.0,1.6693345071082704e-13,-1.6861796098618176e-15,0.0,1.540321126257836e-13,-1.5558643667137108e-15,0.0,0.0,-1.537046242904987e-15,0.0,0.0,-1.5325830892709827e-15
3.16025e-07,-1.6861964718265358e-08,0.001,1.6861964718265358e-08,0.1,1.6861964718265359e-06,1e-08,1.686196471826536e-13,-1.5558799255129658e-08,0.001,1.5558799255129658e-08,0.1,1.5558799255129658e-06,1e-08,1.555879925512966e-13,-1.5370616135211223e-08,0.001,1.5370616135211223e-08,0.001,1.5370616135211223e-08,1e-08,1.5370616135211225e-13,-1.5325984152551354e-08,0.001,1.5325984152551354e-08,0.001,1.5325984152551354e-08,1e-08,1.5325984152551356e-13,0.0,5.275514376088912e-13,-5.3287491120658096e-15,0.0,4.867799839256327e-13,-4.916920364907005e-15,0.0,0.0,-4.857450389140486e-15,0.0,0.0,-4.843345707868623e-15
7.82691e-07,-1.6861964718265358e-08,0.001,1.6861964718265358e-08,0.1,1.6861964718265359e-06,1e-08,1.686196471826536e-13,-1.5558799255129658e-08,0.001,1.5558799255129658e-08,0.1,1.5558799255129658e-06,1e-08,1.555879925512966e-13,-1.5370616135211223e-08,0.001,1.5370616135211223e-08,0.001,1.5370616135211223e-08,1e-08,1.5370616135211225e-13,-1.5325984152551354e-08,0.001,1.5325984152551354e-08,0.001,1.5325984152551354e-08,1e-08,1.5325984152551356e-13,0.0,1.3065730947030794e-12,-1.319757605022356e-14,0.0,1.205595482631872e-12,-1.2177610370475211e-14,0.0,0.0,-1.2030322609055474e-14,0.0,0.0,-1.1995389907245949e-14
1.79081e-06,-1.6861964718265358e-08,0.001,1.6861964718265358e-08,0.1,1.6861964718265359e-06,1e-08,1.686196471826536e-13,-1.5558799255129658e-08,0.001,1.5558799255129658e-08,0.1,1.5558799255129658e-06,1e-08,1.555879925512966e-13,-1.5370616135211223e-08,0.001,1.5370616135211223e-08,0.001,1.5370616135211223e-08,1e-08,1.5370616135211225e-13,-1.5325984152551354e-08,0.001,1.5325984152551354e-08,0.001,1.5325984152551354e-08,1e-08,1.5325984152551356e-13,0.0,2.9894609286745623e-12,-3.019627307136642e-14,0.0,2.7584224761137956e-12,-2.7862574665545807e-14,0.0,0.0,-2.7525577822566803e-14,0.0,0.0,-2.7445651220973687e-14
3.96858e-06,-1.6861964718265358e-08,0.001,1.6861964718265358e-08,0.1,1.6861964718265359e-06,1e-08,1.686196471826536e-13,-1.5558799255129658e-08,0.001,1.5558799255129658e-08,0.1,1.5558799255129658e-06,1e-08,1.555879925512966e-13,-1.5370616135211223e-08,0.001,1.5370616135211223e-08,0.001,1.5370616135211223e-08,1e-08,1.5370616135211225e-13,-1.5325984152551354e-08,0.001,1.5325984152551354e-08,0.001,1.5325984152551354e-08,1e-08,1.5325984152551356e-13,0.0,6.624887538219741e-12,-6.691738676105414e-14,0.0,6.112887615244323e-12,-6.174572208452699e-14,0.0,0.0,-6.099890978667875e-14,0.0,0.0,-6.082178596419037e-14
8.67312e-06,-1.6861964718265358e-08,0.001,1.6861964718265358e-08,0.1,1.6861964718265359e-06,1e-08,1.686196471826536e-13,-1.5558799255129658e-08,0.001,1.5558799255129658e-08,0.1,1.5558799255129658e-06,1e-08,1.555879925512966e-13,-1.5370616135211223e-08,0.001,1.5370616135211223e-08,0.001,1.5370616135211223e-08,1e-08,1.5370616135211225e-13,-1.5325984152551354e-08,0.001,1.5325984152551354e-08,0.001,1.5325984152551354e-08,1e-08,1.5325984152551356e-13,0.0,1.4478338500290883e-11,-1.462443809788473e-13,0.0,1.3359389966569363e-11,-1.349419835623202e-13,0.0,0.0,-1.3330986510264103e-13,0.0,0.0,-1.3292277043217945e-13
1.74745e-05,-1.6861964718265358e-08,0.001,1.6861964718265358e-08,0.1,1.6861964718265359e-06,1e-08,1.686196471826536e-13,-1.5558799255129658e-08,0.001,1.5558799255129658e-08,0.1,1.5558799255129658e-06,1e-08,1.555879925512966e-13,-1.5370616135211223e-08,0.001,1.5370616135211223e-08,0.001,1.5370616135211223e-08,1e-08,1.5370616135211225e-13,-1.5325984152551354e-08,0.001,1.5325984152551354e-08,0.001,1.5325984152551354e-08,1e-08,1.5325984152551356e-13,0.0,2.9170785844463474e-11,-2.9465145592530333e-13,0.0,2.6916341520792555e-11,-2.7187951876138744e-13,0.0,0.0,-2.68591145716432e-13,0.0,0.0,-2.678112319346579e-13
3.39404e-05,-1.6861964718265358e-08,0.001,1.6861964718265358e-08,0.1,1.6861964718265359e-06,1e-08,1.686196471826536e-13,-1.5558799255129658e-08,0.001,1.5558799255129658e-08,0.1,1.5558799255129658e-06,1e-08,1.555879925512966e-13,-1.5370616135211223e-08,0.001,1.5370616135211223e-08,0.001,1.5370616135211223e-08,1e-08,1.5370616135211225e-13,-1.5328393898487273e-08,0.001,1.5328393898487273e-08,0.001,1.5328393898487273e-08,1e-08,1.5328393898487274e-13,0.0,5.665788090505754e-11,-5.722961043055404e-13,0.0,5.2279115153641457e-11,-5.280665895201003e-13,0.0,0.0,-5.216796430269242e-13,0.0,0.0,-5.202045090697486e-13
6.47452e-05,-1.6861964718265358e-08,0.001,1.6861964718265358e-08,0.1,1.6861964718265359e-06,1e-08,1.686196471826536e-13,-1.5558799255129658e-08,0.001,1.5558799255129658e-08,0.1,1.5558799255129658e-06,1e-08,1.555879925512966e-13,-1.5363613576607475e-08,0.001,1.5363613576607475e-08,0.001,1.5363613576607475e-08,1e-08,1.5363613576607475e-13,-1.5328393898487273e-08,0.001,1.5328393898487273e-08,0.001,1.5328393898487273e-08,1e-08,1.5328393898487274e-13,0.0,1.0808139652962641e-10,-1.0917203607642537e-12,0.0,9.972839938378886e-11,-1.0073474959575254e-12,0.0,0.0,-9.949479538011673e-13,0.0,0.0,-9.923878955527858e-13
0.000116292,-1.6861964718265358e-08,0.001,1.6861964718265358e-08,0.1,1.6861964718265359e-06,1e-08,1.686196471826536e-13,-1.5558799255129658e-08,0.001,1.5558799255129658e-08,0.1,1.5558799255129658e-06,1e-08,1.555879925512966e-13,-1.5363613576607475e-08,0.001,1.5363613576607475e-08,0.001,1.5363613576607475e-08,1e-08,1.5363613576607475e-13,-1.5330803644423196e-08,0.001,1.5330803644423196e-08,0.001,1.5330803644423196e-08,1e-08,1.5330803644423197e-13,0.0,1.94130248500635e-10,-1.9608919919005052e-12,0.0,1.791270244147763e-10,-1.8093457893387086e-12,0.0,0.0,-1.7868851506606745e-12,0.0,0.0,-1.7826338623124463e-12
