site,scenario,tracer,control_plane,peak_time
Cecil,hourly,psi02,50,32.875
Cecil,hourly,psi02,100,107.958
Cecil,hourly,psi02,200,207.0
Cecil,hourly,psi02,300,337.417
Cecil,hourly,psi01,50,48.0
Cecil,hourly,psi01,100,151.208
Cecil,hourly,psi01,200,247.542
Cecil,hourly,psi01,300,375.917
Cecil,daily,psi02,50,32.3841
Cecil,daily,psi02,100,89.0
Cecil,daily,psi02,200,205.0
Cecil,daily,psi02,300,340.355
Cecil,daily,psi01,50,52.0
Cecil,daily,psi01,100,155.0
Cecil,daily,psi01,200,257.343
Cecil,daily,psi01,300,381.0
Cecil,monthly,psi02,50,32.0
Cecil,monthly,psi02,100,115.0
Cecil,monthly,psi02,200,219.0
Cecil,monthly,psi02,300,355.0
Cecil,monthly,psi01,50,57.0
Cecil,monthly,psi01,100,167.0
Cecil,monthly,psi01,200,283.0
Cecil,monthly,psi01,300,395.0
Flanagan,hourly,psi02,50,17.417
Flanagan,hourly,psi02,100,7.917
Flanagan,hourly,psi02,200,176.0
Flanagan,hourly,psi02,300,467.375
Flanagan,hourly,psi01,50,37.5
Flanagan,hourly,psi01,100,111.458
Flanagan,hourly,psi01,200,333.958
Flanagan,hourly,psi01,300,519.25
Flanagan,daily,psi02,50,17.0
Flanagan,daily,psi02,100,7.55667
Flanagan,daily,psi02,200,176.0
Flanagan,daily,psi02,300,469.0
Flanagan,daily,psi01,50,38.0
Flanagan,daily,psi01,100,111.0
Flanagan,daily,psi01,200,357.0
Flanagan,daily,psi01,300,524.0
Flanagan,monthly,psi02,50,13.1399
Flanagan,monthly,psi02,100,30.0
Flanagan,monthly,psi02,200,201.0
Flanagan,monthly,psi02,300,492.0
Flanagan,monthly,psi01,50,45.0
Flanagan,monthly,psi01,100,131.0
Flanagan,monthly,psi01,200,439.0
Flanagan,monthly,psi01,300,564.0
HoustonBlack,hourly,psi02,50,6.917
HoustonBlack,hourly,psi02,100,91.042
HoustonBlack,hourly,psi02,200,219.208
HoustonBlack,hourly,psi02,300,510.167
HoustonBlack,hourly,psi01,50,80.417
HoustonBlack,hourly,psi01,100,136.0
HoustonBlack,hourly,psi01,200,336.667
HoustonBlack,hourly,psi01,300,705.167
HoustonBlack,daily,psi02,50,7.0
HoustonBlack,daily,psi02,100,90.0
HoustonBlack,daily,psi02,200,219.0
HoustonBlack,daily,psi02,300,518.0
HoustonBlack,daily,psi01,50,80.0
HoustonBlack,daily,psi01,100,143.0
HoustonBlack,daily,psi01,200,345.0
HoustonBlack,daily,psi01,300,727.0
HoustonBlack,monthly,psi02,50,9.11351
HoustonBlack,monthly,psi02,100,88.0
HoustonBlack,monthly,psi02,200,250.0
HoustonBlack,monthly,psi02,300,591.0
HoustonBlack,monthly,psi01,50,68.0
HoustonBlack,monthly,psi01,100,166.0
HoustonBlack,monthly,psi01,200,402.0
HoustonBlack,monthly,psi01,300,785.0
Kalamazoo,hourly,psi02,50,7.042
Kalamazoo,hourly,psi02,100,37.917
Kalamazoo,hourly,psi02,200,97.917
Kalamazoo,hourly,psi02,300,121.75
Kalamazoo,hourly,psi01,50,28.083
Kalamazoo,hourly,psi01,100,71.0
Kalamazoo,hourly,psi01,200,123.375
Kalamazoo,hourly,psi01,300,150.167
Kalamazoo,daily,psi02,50,1.25822
Kalamazoo,daily,psi02,100,35.0
Kalamazoo,daily,psi02,200,93.0
Kalamazoo,daily,psi02,300,121.0
Kalamazoo,daily,psi01,50,28.0
Kalamazoo,daily,psi01,100,84.0
Kalamazoo,daily,psi01,200,125.0
Kalamazoo,daily,psi01,300,152.0
Kalamazoo,monthly,psi02,50,4.45829
Kalamazoo,monthly,psi02,100,35.0
Kalamazoo,monthly,psi02,200,100.0
Kalamazoo,monthly,psi02,300,127.0
Kalamazoo,monthly,psi01,50,31.0
Kalamazoo,monthly,psi01,100,83.0
Kalamazoo,monthly,psi01,200,134.0
Kalamazoo,monthly,psi01,300,178.0
Kuma,hourly,psi02,50,25.542
Kuma,hourly,psi02,100,94.478
Kuma,hourly,psi02,200,223.958
Kuma,hourly,psi02,300,511.25
Kuma,hourly,psi01,50,76.292
Kuma,hourly,psi01,100,117.917
Kuma,hourly,psi01,200,456.375
Kuma,hourly,psi01,300,780.958
